# provenance: derived from data/raw/EXP-T06/*_stability_r{1,2,3}.json by inline aggregator, 2026-08-24
metric,mean,std,rel_std_pct
bench.qwen8b_mlp_up.fp16_cublas_ms,1.3306,0.0004,0.03
bench.qwen8b_mlp_up.fp16_cublas_tflops,154.933,0.0577,0.04
bench.qwen8b_mlp_up.fp16_triton_ms,1.31143,0.00996,0.76
bench.qwen8b_mlp_up.fp16_triton_tflops,157.2,1.21,0.77
bench.qwen8b_mlp_up.fp8_e2e_online_quant_ms,3.2071,0.0016,0.05
bench.qwen8b_mlp_up.fp8_e2e_online_quant_tflops,64.2667,0.0577,0.09
bench.qwen8b_mlp_up.fp8_prequant_ms,0.903833,0.00526,0.58
bench.qwen8b_mlp_up.fp8_prequant_tflops,228.1,1.3,0.57
bench.square4k.fp16_cublas_ms,0.876,0.0128,1.47
bench.square4k.fp16_cublas_tflops,156.9,2.36,1.50
bench.square4k.fp16_triton_ms,0.891167,0.025,2.80
bench.square4k.fp16_triton_tflops,154.3,4.26,2.76
bench.square4k.fp8_e2e_online_quant_ms,1.8863,0.00252,0.13
bench.square4k.fp8_e2e_online_quant_tflops,72.8667,0.115,0.16
bench.square4k.fp8_prequant_ms,0.6012,0.0002,0.03
bench.square4k.fp8_prequant_tflops,228.6,0.1,0.04
correctness.qwen8b_mlp_up.kernel_relerr,0.000188648,0,0.00
correctness.qwen8b_mlp_up.quant_relerr_vs_fp16,0.038926,0,0.00
correctness.square4k.kernel_relerr,0.000185266,0,0.00
correctness.square4k.quant_relerr_vs_fp16,0.0362637,0,0.00
